expr,time
elastic_group_by_avg(),15789352
elastic_count_groupby_http(),7706132
elastic_range(),11468607
elastic_count_groupby_http(),9668796
elastic_min_max(),7298996
elastic_count_groupby_http(),7993981
elastic_group_by_avg(),8938656
elastic_group_by_avg(),8234957
elastic_min_max(),9516158
elastic_count_groupby_http(),11825864
elastic_min_max(),10472551
elastic_count_groupby_host(),7878001
elastic_min_max(),7963634
elastic_count_groupby_http(),7521644
elastic_group_by_avg(),7839240
elastic_group_by_avg(),7752104
elastic_min_max(),7223879
elastic_count_groupby_host(),8854525
elastic_range(),14076678
elastic_count_groupby_host(),7565512
elastic_min_max(),7682695
elastic_count_groupby_host(),8525511
elastic_count_groupby_http(),7512029
elastic_count_groupby_host(),7458245
elastic_count_groupby_http(),7222377
elastic_count_groupby_http(),7422189
elastic_count_groupby_host(),7324536
elastic_group_by_avg(),7743390
elastic_group_by_avg(),7983766
elastic_group_by_avg(),7695315
elastic_range(),11416926
elastic_min_max(),8836797
elastic_min_max(),9435032
elastic_range(),15782442
elastic_range(),14880433
elastic_group_by_avg(),8072104
elastic_count_groupby_host(),9303125
elastic_count_groupby_host(),8956685
elastic_range(),11269395
elastic_count_groupby_http(),7171898
elastic_range(),10901621
elastic_count_groupby_host(),7390339
elastic_group_by_avg(),7927878
elastic_min_max(),7670977
elastic_min_max(),7080555
elastic_range(),11079198
elastic_count_groupby_host(),7247016
elastic_range(),11468306
elastic_range(),11483930
elastic_count_groupby_http(),8554657
