expr,time
mongoDB_group_by_avg(),3123375627
mongoDB_count_groupby_host(),2397607485
mongoDB_group_by_avg(),2977636685
mongoDB_min_max(),1914637624
mongoDB_count_groupby_http(),1722031508
mongoDB_min_max(),1845387905
mongoDB_group_by_avg(),2992649324
mongoDB_range(),13067230567
mongoDB_min_max(),2311590687
mongoDB_range(),15137272925
mongoDB_min_max(),1802466792
mongoDB_group_by_avg(),2961058601
mongoDB_group_by_avg(),3177742510
mongoDB_min_max(),1801528727
mongoDB_count_groupby_http(),1708075618
mongoDB_count_groupby_http(),1740237534
mongoDB_count_groupby_host(),2402588962
mongoDB_min_max(),1864574961
mongoDB_count_groupby_host(),2267043135
mongoDB_group_by_avg(),2916761941
mongoDB_min_max(),1814454609
mongoDB_range(),13942239620
mongoDB_count_groupby_host(),2228175050
mongoDB_count_groupby_http(),1679492292
mongoDB_group_by_avg(),2905154218
mongoDB_count_groupby_http(),1699638746
mongoDB_count_groupby_http(),1851786394
mongoDB_count_groupby_host(),2495573038
mongoDB_range(),12273354790
mongoDB_count_groupby_host(),2459067243
mongoDB_count_groupby_host(),2503288485
mongoDB_range(),13301536990
mongoDB_min_max(),1957677122
mongoDB_group_by_avg(),3014912584
mongoDB_count_groupby_http(),1739810867
mongoDB_count_groupby_host(),2372045976
mongoDB_count_groupby_http(),1725309326
mongoDB_group_by_avg(),2935700510
mongoDB_range(),12975225720
mongoDB_count_groupby_host(),2377852842
mongoDB_group_by_avg(),2950140154
mongoDB_min_max(),1840223441
mongoDB_count_groupby_host(),2353795482
mongoDB_count_groupby_http(),1725253138
mongoDB_min_max(),1848853816
mongoDB_count_groupby_http(),1716227647
mongoDB_range(),12720344074
mongoDB_range(),11832182287
mongoDB_range(),12907071511
mongoDB_range(),12695803859
