expr,time
mysql_count_groupby_host(),41366327447
mysql_group_by_avg(),57098853740
mysql_range(),1377647021
mysql_count_groupby_host(),48434009019
mysql_count_groupby_host(),45989755206
mysql_range(),1359940376
mysql_count_groupby_host(),48911892538
mysql_group_by_avg(),65531114029
mysql_count_groupby_host(),49451575646
mysql_count_groupby_http(),1730382146
mysql_group_by_avg(),73221510645
mysql_min_max(),1246685751
mysql_group_by_avg(),69732910895
mysql_group_by_avg(),71781113052
mysql_group_by_avg(),73471860917
mysql_group_by_avg(),73063007474
mysql_range(),1362817667
mysql_count_groupby_http(),1730733695
mysql_min_max(),1252469180
mysql_count_groupby_http(),1760935349
mysql_count_groupby_http(),1725713758
mysql_min_max(),1252778063
mysql_count_groupby_host(),51604312213
mysql_count_groupby_host(),51636950371
mysql_min_max(),1259094224
mysql_group_by_avg(),70590959966
mysql_range(),1397443429
mysql_min_max(),1244245040
mysql_range(),1365819654
mysql_group_by_avg(),77102206075
mysql_range(),1367953887
mysql_range(),1435252661
mysql_range(),1403379497
mysql_count_groupby_http(),1765867249
mysql_range(),1428298903
mysql_count_groupby_http(),1751835642
mysql_count_groupby_host(),53406530517
mysql_count_groupby_host(),52407128150
mysql_count_groupby_http(),1953951304
mysql_min_max(),1391132676
mysql_count_groupby_http(),1859818836
mysql_count_groupby_host(),53501767210
mysql_min_max(),1355180644
mysql_count_groupby_http(),1799421537
mysql_group_by_avg(),81005986847
mysql_count_groupby_http(),1953719943
mysql_min_max(),1372158051
mysql_min_max(),1456274682
mysql_min_max(),1413434395
mysql_range(),1604472964
