expr,time
mysql_group_by_avg(),1652340400
mysql_range(),744291763
mysql_group_by_avg(),1669433487
mysql_min_max(),953963324
mysql_min_max(),949687648
mysql_min_max(),949596907
mysql_count_groupby_http(),1635904438
mysql_count_groupby_http(),1635193228
mysql_group_by_avg(),1636335611
mysql_min_max(),957923206
mysql_count_groupby_http(),1633448704
mysql_count_groupby_host(),1427361440
mysql_count_groupby_http(),1644325686
mysql_count_groupby_http(),1634916195
mysql_count_groupby_host(),1421739663
mysql_group_by_avg(),1665918599
mysql_count_groupby_host(),1434736455
mysql_count_groupby_host(),1379854267
mysql_min_max(),944771372
mysql_range(),734141616
mysql_count_groupby_host(),1387853656
mysql_range(),734116977
mysql_count_groupby_host(),1406634479
mysql_group_by_avg(),1621609620
mysql_count_groupby_http(),1632612799
mysql_group_by_avg(),1658216374
mysql_min_max(),939485519
mysql_min_max(),946834994
mysql_range(),735838365
mysql_count_groupby_http(),1635300194
mysql_count_groupby_host(),1419953674
mysql_range(),733597766
mysql_group_by_avg(),1671348677
mysql_count_groupby_http(),1622153168
mysql_min_max(),948260419
mysql_count_groupby_host(),1409490438
mysql_range(),733983870
mysql_range(),738999e3
mysql_min_max(),943034961
mysql_min_max(),945732873
mysql_count_groupby_host(),1453151305
mysql_count_groupby_http(),1627968447
mysql_range(),738904051
mysql_count_groupby_http(),1631118866
mysql_group_by_avg(),1641013615
mysql_count_groupby_host(),1389898950
mysql_group_by_avg(),1628799845
mysql_range(),732152811
mysql_range(),730299818
mysql_group_by_avg(),1638732153
